Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,016E+11;1;7;0;0;2;3;1;A01
2,016E+11;2;7;0;0;2;3;1;B02
2,016E+11;1;7;0;0;2;1;13;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;3;13;A01
2,016E+11;2;10;0;0;2;1;1;B02
2,016E+11;2;33;0;0;0;0;21;C03
2,016E+11;2;33;0;0;2;1;21;D04
2,016E+11;1;7;0;0;6;1;13;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;2;17;0;0;2;2;21;A01
2,016E+11;2;14;0;0;2;6;1;B02
2,016E+11;1;33;0;0;2;7;1;A01
2,016E+11;0;10;0;0;2;3;19;B02
2,016E+11;0;2;0;0;2;7;1;A01
2,016E+11;1;7;0;0;2;5;17;A01
2,016E+11;1;10;0;0;2;0;18;B02
2,016E+11;1;7;0;0;2;3;15;A01
2,016E+11;2;7;0;0;2;3;1;B02
2,016E+11;0;7;0;0;2;3;1;A01
2,016E+11;0;10;0;0;2;3;0;B02
2,016E+11;2;7;0;4;0;3;1;A01
2,016E+11;1;33;0;0;2;1;1;A01
2,016E+11;1;7;0;0;2;6;1;B02
2,016E+11;2;7;0;6;0;7;13;A01
2,016E+11;2;30;0;0;6;1;1;A01
2,016E+11;1;7;0;0;1;1;1;A01
2,016E+11;1;7;0;0;2;1;5;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;2;7;0;0;2;6;10;A01
2,016E+11;2;33;0;0;2;1;1;B02
2,016E+11;0;30;0;0;0;1;19;A01
2,016E+11;0;7;0;0;0;7;1;B02
2,016E+11;0;7;0;0;1;2;14;A01
2,016E+11;1;33;0;0;2;1;13;A01
2,016E+11;2;32;0;0;2;1;1;B02
2,016E+11;0;36;0;8;0;1;13;A01
2,016E+11;1;7;0;0;2;1;15;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;1;17;A01
2,016E+11;1;7;0;2;0;1;0;A01
2,016E+11;0;2;0;0;2;4;2;A01
2,016E+11;0;2;0;0;2;1;0;B02
2,016E+11;1;31;0;0;2;1;0;A01
2,016E+11;1;7;0;0;2;5;0;B02
2,016E+11;0;7;0;6;0;9;2;A01
2,016E+11;2;33;0;7;0;1;1;A01
2,016E+11;2;7;0;0;2;5;1;B02
2,016E+11;2;7;0;0;1;3;2;A01
2,016E+11;0;7;0;15;0;7;1;A01
2,016E+11;1;7;0;0;2;2;11;A01
2,016E+11;2;3;0;0;2;8;1;B02
2,016E+11;2;7;0;4;0;1;1;A01
2,016E+11;2;1;0;0;2;8;1;B02
2,016E+11;1;7;0;0;2;1;19;A01
2,016E+11;0;1;0;0;2;1;1;A01
2,016E+11;0;20;0;0;2;4;4;B02
2,016E+11;1;7;0;0;2;2;15;A01
2,016E+11;2;14;0;0;2;1;1;B02
2,016E+11;1;7;0;0;2;3;1;A01
2,016E+11;2;7;0;0;2;3;1;B02
2,016E+11;1;7;0;6;0;3;1;A01
2,016E+11;2;7;0;2;0;1;1;A01
2,016E+11;0;7;0;13;2;8;13;A01
2,016E+11;1;33;0;0;2;1;1;B02
2,016E+11;1;33;0;0;0;0;1;C03
2,016E+11;1;7;0;6;0;9;0;A01
2,016E+11;0;3;0;0;2;6;13;A01
2,016E+11;0;7;0;0;2;6;1;B02
2,016E+11;2;33;0;1;0;3;13;A01
2,016E+11;1;1;0;0;2;1;1;A01
2,016E+11;1;10;0;0;2;5;0;B02
2,016E+11;1;31;0;0;0;0;1;B02
2,016E+11;2;30;0;0;0;0;1;A01
2,016E+11;1;10;0;0;2;1;13;A01
2,016E+11;2;7;0;0;2;1;0;B02
2,016E+11;1;33;0;0;2;2;17;A01
2,016E+11;1;10;0;0;2;8;15;B02
2,016E+11;2;7;0;0;1;1;12;A01
2,016E+11;2;7;0;0;0;3;1;A01
2,016E+11;1;7;0;0;0;1;15;B02
2,016E+11;0;7;0;0;2;1;13;A01
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;1;7;0;2;0;1;1;A01
2,016E+11;2;10;0;0;2;3;1;A01
2,016E+11;1;7;0;0;2;3;13;B02
2,016E+11;1;10;0;0;9;2;1;A01
2,016E+11;0;1;0;0;2;8;1;B02
2,016E+11;2;7;0;0;2;1;2;A01
2,016E+11;2;7;0;0;2;4;13;B02
2,016E+11;2;7;0;0;2;3;1;C03
2,016E+11;0;7;0;2;0;8;17;A01
2,016E+11;0;7;0;0;2;1;9;A01
2,016E+11;2;7;0;0;2;7;1;B02
2,016E+11;0;7;0;0;2;3;17;A01
2,016E+11;0;31;0;0;2;7;1;B02
2,016E+11;1;14;0;0;2;1;1;A01
2,016E+11;2;7;0;0;0;8;15;B02
2,016E+11;2;7;0;2;0;3;14;A01
2,016E+11;2;7;0;0;0;9;13;A01
2,016E+11;1;7;0;2;0;1;1;A01
2,016E+11;2;7;0;13;0;2;1;A01
2,016E+11;2;1;0;0;0;3;1;A01
2,016E+11;2;7;0;0;0;2;1;B02
2,016E+11;1;7;0;0;0;0;0;A01
2,016E+11;2;7;0;2;0;8;1;A01
2,016E+11;2;21;0;0;2;3;16;A01
2,016E+11;1;7;0;0;2;3;1;B02
2,016E+11;2;31;0;0;2;1;1;A01
2,016E+11;1;10;0;0;2;5;10;B02
2,016E+11;1;7;0;2;0;8;1;A01
2,016E+11;1;7;0;2;0;1;14;A01
2,016E+11;1;7;0;2;0;1;13;A01
2,016E+11;1;7;0;0;1;2;13;A01
2,016E+11;1;7;0;6;2;8;5;A01
2,016E+11;2;10;0;0;2;1;1;B02
2,016E+11;0;36;0;8;0;1;1;A01
2,016E+11;2;7;0;13;0;3;1;A01
2,016E+11;1;7;0;0;2;2;16;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;2;7;0;15;0;1;14;A01
2,016E+11;2;7;0;0;2;2;13;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;0;8;19;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;0;7;0;0;4;3;1;A01
2,016E+11;0;39;1;0;2;1;1;B02
2,016E+11;0;2;0;0;9;3;13;A01
2,016E+11;0;1;0;0;2;1;1;B02
2,016E+11;1;30;0;0;2;1;1;A01
2,016E+11;2;7;0;0;0;3;2;B02
2,016E+11;1;7;0;0;1;0;0;A01
2,016E+11;1;7;0;0;2;6;13;A01
2,016E+11;1;33;0;0;1;2;21;B02
2,016E+11;1;7;0;0;1;1;1;A01
2,016E+11;1;7;0;0;2;3;15;A01
2,016E+11;1;10;0;0;2;1;1;B02
2,016E+11;1;33;0;0;0;8;21;A01
2,016E+11;1;10;0;0;2;3;16;A01
2,016E+11;1;30;0;0;2;1;21;B02
2,016E+11;1;7;0;6;0;3;2;A01
2,016E+11;0;7;0;0;2;2;11;A01
2,016E+11;0;7;0;0;2;3;1;B02
2,016E+11;0;7;0;0;1;3;1;A01
2,016E+11;0;33;0;0;2;1;1;A01
2,016E+11;0;7;0;0;2;7;1;B02
2,016E+11;1;7;0;13;0;1;0;A01
2,016E+11;1;33;0;0;2;3;13;A01
2,016E+11;2;7;0;0;2;3;1;B02
2,016E+11;1;7;0;16;0;1;1;A01
2,016E+11;2;7;0;13;0;2;21;A01
2,016E+11;1;7;0;0;1;1;1;A01
2,016E+11;0;1;0;0;2;4;1;B02
2,016E+11;0;7;0;0;2;2;1;A01
2,016E+11;1;15;0;0;2;8;4;B02
2,016E+11;1;7;0;0;2;1;1;A01
2,016E+11;2;7;0;0;2;3;0;B02
2,016E+11;1;10;0;0;2;3;0;A01
2,016E+11;2;15;0;0;2;3;1;B02
2,016E+11;1;7;0;0;2;3;13;A01
2,016E+11;1;7;0;0;2;1;13;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;2;7;0;0;2;3;15;C03
2,016E+11;2;7;0;2;2;5;1;A01
2,016E+11;1;7;0;0;2;2;19;B02
2,016E+11;1;7;0;0;2;7;15;A01
2,016E+11;2;30;0;0;2;1;1;B02
2,016E+11;2;33;0;2;0;9;13;A01
2,016E+11;1;7;0;6;0;9;13;A01
2,016E+11;1;30;0;0;5;1;1;A01
2,016E+11;2;7;0;0;1;2;17;A01
2,016E+11;2;7;0;0;2;2;23;B02
2,016E+11;1;7;0;0;2;3;13;A01
2,016E+11;2;30;0;0;2;3;13;A01
2,016E+11;1;7;0;0;2;3;1;B02
2,016E+11;1;10;0;0;2;4;15;B02
2,016E+11;2;1;0;0;2;1;1;A01
2,016E+11;2;2;0;0;2;1;1;B02
2,016E+11;1;10;0;0;2;3;1;A01
