Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,016E+11;3;939;;;0;4;138;0;0;0;1;0;185;1;0;1;99
2,016E+11;4;1;;;0;2;;;3;0;1;0;88;1;5;1;0
2,016E+11;3;77;;;2;2;20;0;0;0;2;0;35;1;0;1;99
2,016E+11;3;916;;;2;2;21;850;0;1;1;0;0;1;0;3;99
2,016E+11;3;75;;;2;2;4;300;0;1;1;0;60;1;0;1;0
2,016E+11;3;23;;;2;0;24;255;0;1;1;0;0;7;0;1;0
2,016E+11;3;74;;;2;2;7;500;0;0;2;0;53;1;0;1;99
2,016E+11;3;341;;;2;2;21;800;0;1;1;0;80;1;5;1;99
2,016E+11;4;2;;;2;2;;;0;1;3;0;0;2;0;1;0
2,016E+11;3;86;;;2;2;12;50;0;2;1;0;63;1;0;3;99
2,016E+11;3;811;;;2;2;20;500;0;1;1;0;60;1;0;1;99
2,016E+11;3;26;;;2;0;7;0;0;0;1;70;0;2;0;1;0
2,016E+11;3;75;;;2;2;8;500;0;0;1;0;62;2;0;3;99
2,016E+11;3;939;;;2;0;166;800;0;1;1;0;70;1;0;3;0
2,016E+11;3;939;;;2;2;162;800;0;1;1;0;80;1;0;3;0
2,016E+11;3;339;;;2;2;6;;0;1;1;0;35;1;0;1;99
2,016E+11;3;1015;;;2;1;17;250;0;1;2;0;70;1;0;1;0
2,016E+11;3;211;;;2;1;19;270;0;1;1;0;70;1;5;1;0
2,016E+11;3;113;;;2;2;9;400;0;0;3;0;60;1;0;3;0
2,016E+11;3;40;;;2;2;10;500;0;1;1;0;0;1;3;1;99
2,016E+11;3;940;;;2;2;24;0;0;1;3;0;70;1;0;3;99
2,016E+11;3;940;;;2;2;16;850;0;1;1;0;65;1;0;1;99
2,016E+11;4;6;;;2;0;;;0;0;1;0;60;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;1;1;0;50;2;4;3;99
2,016E+11;5;0;;;2;1;;;2;1;2;0;25;1;2;5;99
2,016E+11;3;47;;;2;2;6;180;0;1;1;0;0;1;0;1;0
2,016E+11;3;159;;;0;2;4;0;0;0;0;0;0;0;0;0;0
2,016E+11;3;329;;;2;2;48;500;0;1;1;72;0;1;0;1;0
2,016E+11;3;329;;;3;0;48;500;1;2;1;0;0;2;6;1;0
2,016E+11;4;0;;;2;2;;;0;1;1;67;0;2;0;1;0
2,016E+11;4;0;;;2;0;;;0;2;1;0;71;1;0;1;0
2,016E+11;4;0;;;2;0;;;0;4;1;0;67;1;0;1;0
2,016E+11;3;50;;;2;2;4;500;0;1;1;0;0;1;0;1;99
2,016E+11;4;0;;;2;0;;;0;1;1;0;0;1;0;1;99
2,016E+11;4;4929;;;3;2;;;0;1;1;0;0;1;0;1;99
2,016E+11;4;0;;;0;0;;;0;0;0;0;0;0;0;0;0
2,016E+11;3;151;;;2;2;5;500;0;2;2;57;0;1;0;3;0
2,016E+11;3;151;;;2;2;1;0;0;2;3;0;0;1;0;1;99
2,016E+11;3;147;;;2;2;7;125;0;1;3;0;55;2;0;3;99
2,016E+11;3;91;;;2;2;3;500;0;1;0;0;0;7;0;3;99
2,016E+11;3;54;;;2;2;7;300;0;1;1;0;0;1;0;1;99
2,016E+11;4;;;;2;2;;;0;1;1;0;0;1;0;1;3
2,016E+11;3;582;;;2;2;1;400;0;2;1;0;60;2;0;1;99
2,016E+11;3;967;;;2;2;66;884;0;2;2;0;65;1;0;1;99
2,016E+11;3;1044;;;2;2;57;83;0;0;1;0;73;1;0;1;99
2,016E+11;2;2;;;2;2;72;950;0;1;1;0;80;2;0;1;99
2,016E+11;2;2;;;2;2;78;700;0;2;1;0;70;1;0;1;99
2,016E+11;3;338;;;2;2;4;345;0;4;1;84;42;2;5;1;3
2,016E+11;3;553;;;2;2;1;950;0;1;3;0;60;1;0;3;99
2,016E+11;3;35;;;2;2;15;900;0;0;2;0;0;0;0;3;99
2,016E+11;3;56;;;2;2;26;200;0;1;0;0;0;1;0;1;99
2,016E+11;3;338;;;2;2;5;800;0;1;1;0;0;1;0;1;99
2,016E+11;3;102;;;2;2;;;;;;;;;0;1;99
